landbase,discount_rate,flow_policy,period,projected_mcf,realized_mcf
1,0.02,+/-20%,5,7664.687141111457,6108.236198525156
1,0.02,+/-20%,6,7886.993111425192,7621.6810584545465
1,0.02,+/-20%,7,9464.391733710267,9464.391737139998
1,0.02,+/-20%,8,11357.270080452301,10656.846257180001
1,0.02,+/-20%,9,13485.141561242868,12135.646766666665
1,0.02,+/-20%,10,10788.113248994305,9708.51741412
1,0.02,+/-20%,11,8630.490599195437,10876.30157488
1,0.02,+/-20%,12,6904.392479356342,8701.04125372
1,0.02,+/-20%,13,8285.27097522763,9230.12612438889
1,0.02,+/-20%,14,9942.325170273136,7384.100898660001
1,0.02,+/-20%,15,11930.790204327772,8771.245360160001
1,0.04,NHF,1,65457.782,65457.782
1,0.04,NHF,2,0.0,0.0
1,0.04,NHF,3,0.0,0.0
1,0.04,NHF,4,0.0,0.0
1,0.04,NHF,5,0.0,0.0
1,0.04,NHF,6,0.0,0.0
1,0.04,NHF,7,30640.0,30640.0
1,0.04,NHF,8,11500.0,11500.0
1,0.04,NHF,9,21480.0,21480.0
1,0.04,NHF,10,0.0,0.0
1,0.04,NHF,11,0.0,0.0
1,0.04,NHF,12,0.0,0.0
1,0.04,NHF,13,30640.0,30640.0
1,0.04,NHF,14,0.0,0.0
1,0.04,NHF,15,11500.0,11500.0
1,0.04,NDY,1,10244.951106615328,10244.951106615328
1,0.04,NDY,2,10244.951106615328,10197.408427057604
1,0.04,NDY,3,10244.951106615326,10016.200890856539
1,0.04,NDY,4,10244.951106615328,9840.534051852239
1,0.04,NDY,5,10244.951106615328,9839.428304523703
1,0.04,NDY,6,10244.951106615317,9648.501206218005
1,0.04,NDY,7,10244.951106615317,9584.228449729577
1,0.04,NDY,8,10244.951106615328,9495.94804832866
1,0.04,NDY,9,10244.95110661533,9407.998762536288
1,0.04,NDY,10,10244.951106615334,8806.617233785926
1,0.04,NDY,11,10244.951106615332,8806.617232010001
1,0.04,NDY,12,10244.951106615325,8806.617232540002
1,0.04,NDY,13,10244.95110661532,8945.70401434
1,0.04,NDY,14,10244.951106615325,8945.70401434
1,0.04,NDY,15,10244.951106615325,9661.15300142421
1,0.04,-10%,1,15108.304397098336,15108.304397098336
1,0.04,-10%,2,13597.473957388502,13597.473956998583
1,0.04,-10%,3,12237.726561649652,12237.726561513591
1,0.04,-10%,4,11013.953905484694,11013.953904843922
1,0.04,-10%,5,9912.55851493622,7105.433252434715
1,0.04,-10%,6,8921.302663442599,6394.889928782606
1,0.04,-10%,7,8029.17239709834,8029.172397799999
1,0.04,-10%,8,10229.847807677215,10229.84780627
1,0.04,-10%,9,12155.681072448948,12155.68107259
1,0.04,-10%,10,10940.112965204053,10173.779976473685
1,0.04,-10%,11,9846.101668683648,9156.40197504
1,0.04,-10%,12,8861.491501815284,9656.156094294736
1,0.04,-10%,13,7975.342351633753,8323.430815284211
1,0.04,-10%,14,7177.80811647038,7491.08773524
1,0.04,-10%,15,13982.605719936822,11469.574928610527
1,0.04,-20%,1,19188.383641252494,19188.383641252494
1,0.04,-20%,2,15350.706913001995,15350.706912663734
1,0.04,-20%,3,12280.565530401596,12280.565530087586
1,0.04,-20%,4,9824.452424321278,9824.452423474011
1,0.04,-20%,5,7859.561939457022,4896.485272744944
1,0.04,-20%,6,6287.649551565613,3917.1882204772996
1,0.04,-20%,7,5873.167916568099,5873.167916640001
1,0.04,-20%,8,17178.37698816989,17178.37698914
1,0.04,-20%,9,13742.701590535911,13742.701588840002
1,0.04,-20%,10,10994.161272428728,9765.88580698889
1,0.04,-20%,11,8795.329017942988,7812.70865038
1,0.04,-20%,12,7036.263214354388,8400.18164968889
1,0.04,-20%,13,5873.167916568099,6720.145324080001
1,0.04,-20%,14,5678.376988169889,5678.37698914
1,0.04,-20%,15,20392.304295459413,13326.248948711112
1,0.04,+/-10%,1,15108.304397098345,15108.304397098345
1,0.04,+/-10%,2,13597.473957388505,13597.473956981845
1,0.04,+/-10%,3,12237.726561649653,12237.726562296513
1,0.04,+/-10%,4,11013.953905484686,9539.04796739615
1,0.04,+/-10%,5,9912.558514936218,7319.321604966515
1,0.04,+/-10%,6,8921.302663442591,7655.90751988311
1,0.04,+/-10%,7,8421.498269298203,8421.498271620001
1,0.04,+/-10%,8,9263.648096228011,9263.64809931
1,0.04,+/-10%,9,10190.012905850825,10190.01290705
1,0.04,+/-10%,10,11209.014196435906,11209.01419586
1,0.04,+/-10%,11,10843.326468713552,11736.088996126316
1,0.04,+/-10%,12,9758.993821842192,10351.931494577126
1,0.04,+/-10%,13,8783.094439657998,7456.882818495076
1,0.04,+/-10%,14,7904.784995692171,6841.050805944924
1,0.04,+/-10%,15,8695.263495261395,10405.128767549999
1,0.04,+/-20%,1,19188.38364125249,19188.38364125249
1,0.04,+/-20%,2,15350.70691300199,15350.706915773428
1,0.04,+/-20%,3,12280.565530401595,12280.565532848554
1,0.04,+/-20%,4,9824.452424321287,9824.452426276039
1,0.04,+/-20%,5,7859.561939457022,5239.707961694445
1,0.04,+/-20%,6,6287.649551565613,6608.452104383337
1,0.04,+/-20%,7,7545.179461878741,8594.194167507576
1,0.04,+/-20%,8,9054.215354254493,11524.87869186
1,0.04,+/-20%,9,10865.058425105395,11163.793910359998
1,0.04,+/-20%,10,13038.070110126475,12775.078154908959
1,0.04,+/-20%,11,11303.465716021132,10191.218369107844
1,0.04,+/-20%,12,9042.772572816892,8152.974696667627
1,0.04,+/-20%,13,7234.218058253515,5272.343032689263
1,0.04,+/-20%,14,5787.374446602819,6189.589982484999
1,0.04,+/-20%,15,6944.849335923384,11479.515651733334
1,0.06,NHF,1,65457.782,65457.782
1,0.06,NHF,2,0.0,0.0
1,0.06,NHF,3,0.0,0.0
1,0.06,NHF,4,0.0,0.0
1,0.06,NHF,5,0.0,0.0
1,0.06,NHF,6,0.0,0.0
1,0.06,NHF,7,30640.0,30640.0
1,0.06,NHF,8,11500.0,11500.0
1,0.06,NHF,9,21480.0,21480.0
1,0.06,NHF,10,0.0,0.0
1,0.06,NHF,11,0.0,0.0
1,0.06,NHF,12,0.0,0.0
1,0.06,NHF,13,30640.0,30640.0
1,0.06,NHF,14,0.0,0.0
