landbase,discount_rate,flow_policy,max_decrease,max_increase,horizon,max_abs_rel_deviation,mean_abs_rel_deviation,total_projected,total_realized,total_rel_change,occurrence,occurrence_tolerance
7,0.0,-20%,0.2,,15,1.0,0.42631914444660807,148254.50490710416,118454.56362275245,-0.2010053003315094,True,0.05
7,0.0,+/-10%,0.1,0.1,15,0.4879331093622637,0.1735159157101065,142989.71114463228,128875.09146850485,-0.09871073633997815,True,0.05
7,0.0,+/-20%,0.2,0.2,15,0.48172802180660573,0.1982453887267323,145094.6091009401,132059.39398986427,-0.0898394171351152,True,0.05
7,0.02,NHF,,,15,0.0,0.0,142560.0,142560.0,0.0,False,0.05
7,0.02,NDY,0.0,,15,0.1922272886202273,0.12381146033584207,153001.45216493148,133355.59093683417,-0.12840310304322866,True,0.05
7,0.02,-10%,0.1,,15,0.22281077068202257,0.08037964831832414,144483.5735123965,136487.400243928,-0.05534313053090748,True,0.05
7,0.02,-20%,0.2,,15,0.6037905945674897,0.15373652077391328,144219.7059972217,139545.20022379328,-0.032412392891152275,True,0.05
7,0.02,+/-10%,0.1,0.1,15,0.35536110584731423,0.1388620899765705,141251.44338371046,134989.8471596652,-0.0443294317852427,True,0.05
7,0.02,+/-20%,0.2,0.2,15,0.4735903207295096,0.1903749710594294,143296.17486845586,137293.49570348935,-0.04189001674662214,True,0.05
7,0.04,NHF,,,15,0.0,0.0,142560.0,142560.0,0.0,False,0.05
7,0.04,NDY,0.0,,15,0.3016493342034673,0.14803019463303796,157359.34286951073,133220.36616905528,-0.15340034001331934,True,0.05
7,0.04,-10%,0.1,,15,0.320862121584474,0.11070834009541028,154913.27833026808,138571.6659998078,-0.10548877737659586,True,0.05
7,0.04,-20%,0.2,,15,0.34912757736132993,0.13394886169083706,150003.04298632356,137438.95224875087,-0.0837589057357871,True,0.05
7,0.04,+/-10%,0.1,0.1,15,0.38009996495161735,0.16115605462651147,141764.4708557451,147475.94576080772,0.04028847898620821,True,0.05
7,0.04,+/-20%,0.2,0.2,15,0.4805586580794751,0.19134732223385123,150429.9642970802,147191.2823067433,-0.021529500491942744,True,0.05
7,0.06,NHF,,,15,0.0,0.0,142560.0,142560.0,0.0,False,0.05
7,0.06,NDY,0.0,,15,0.3878475591391913,0.13538895001756798,156773.8191426133,134938.04563753374,-0.13928201548254746,True,0.05
7,0.06,-10%,0.1,,15,0.6544836073682198,0.19562651947399468,154791.64916343443,136575.14458832148,-0.1176840267130905,True,0.05
7,0.06,-20%,0.2,,15,0.6159484006833365,0.17684162549217108,152742.2912875533,136835.5320214695,-0.10414115915111988,True,0.05
7,0.06,+/-10%,0.1,0.1,15,0.4250385896821362,0.20070219732536787,151261.76582516858,149804.2328932161,-0.009635831791340593,True,0.05
7,0.06,+/-20%,0.2,0.2,15,0.38027924968798504,0.17592674513042328,154496.46570837,151206.43952367007,-0.021295155003158716,True,0.05
8,0.0,NHF,,,15,1.0,0.5545820002147651,187346.42857049502,170729.1666666667,-0.0886980447432205,True,0.05
8,0.0,NDY,0.0,,15,0.7647184505279501,0.08073922891055633,180977.87852823423,151653.57514194597,-0.16203252919507175,True,0.05
8,0.0,-10%,0.1,,15,0.805325503203943,0.39574773953672593,186685.25279703934,155413.9585501722,-0.16750811206745242,True,0.05
