landbase,discount_path,path_family,discount_rate,flow_policy,period,projected_mcf,realized_mcf
1,linear-6pc-0pc,linear,0.06,+/-20%,6,6287.649551565618,6287.649554842299
1,linear-6pc-0pc,linear,0.06,+/-20%,7,7545.179461878739,7545.17946484
1,linear-6pc-0pc,linear,0.06,+/-20%,8,9054.215354254487,11524.878691859998
1,linear-6pc-0pc,linear,0.06,+/-20%,9,10865.058425105382,11163.79391036
1,linear-6pc-0pc,linear,0.06,+/-20%,10,9595.262765739024,12681.413058589971
1,linear-6pc-0pc,linear,0.06,+/-20%,11,7676.210212591215,10145.130446135816
1,linear-6pc-0pc,linear,0.06,+/-20%,12,9211.452255109514,7694.800504347993
1,linear-6pc-0pc,linear,0.06,+/-20%,13,11053.742706131397,6155.840405860758
1,linear-6pc-0pc,linear,0.06,+/-20%,14,13264.491247357626,6068.661328164999
1,linear-6pc-0pc,linear,0.06,+/-20%,15,15917.38949682921,11479.515651733334
1,invj-4pc-k1,inverse-j,0.04,NHF,1,48567.216,48567.216
1,invj-4pc-k1,inverse-j,0.04,NHF,2,0.0,16890.566
1,invj-4pc-k1,inverse-j,0.04,NHF,3,0.0,0.0
1,invj-4pc-k1,inverse-j,0.04,NHF,4,0.0,0.0
1,invj-4pc-k1,inverse-j,0.04,NHF,5,16890.566,0.0
1,invj-4pc-k1,inverse-j,0.04,NHF,6,0.0,0.0
1,invj-4pc-k1,inverse-j,0.04,NHF,7,30640.0,30640.0
1,invj-4pc-k1,inverse-j,0.04,NHF,8,11500.0,11500.0
1,invj-4pc-k1,inverse-j,0.04,NHF,9,0.0,0.0
1,invj-4pc-k1,inverse-j,0.04,NHF,10,0.0,21480.0
1,invj-4pc-k1,inverse-j,0.04,NHF,11,0.0,0.0
1,invj-4pc-k1,inverse-j,0.04,NHF,12,0.0,0.0
1,invj-4pc-k1,inverse-j,0.04,NHF,13,21480.0,30640.0
1,invj-4pc-k1,inverse-j,0.04,NHF,14,0.0,0.0
1,invj-4pc-k1,inverse-j,0.04,NHF,15,45420.0,11500.0
1,invj-4pc-k1,inverse-j,0.04,NDY,1,9619.610051840114,9619.610051840114
1,invj-4pc-k1,inverse-j,0.04,NDY,2,9619.610051840113,9510.614082050823
1,invj-4pc-k1,inverse-j,0.04,NDY,3,9619.610051840118,9343.748481356803
1,invj-4pc-k1,inverse-j,0.04,NDY,4,9619.610051840116,8739.631877592112
1,invj-4pc-k1,inverse-j,0.04,NDY,5,9619.610051840118,8306.70500284083
1,invj-4pc-k1,inverse-j,0.04,NDY,6,9619.610051840129,8246.820283615833
1,invj-4pc-k1,inverse-j,0.04,NDY,7,9619.610051840136,8238.08943187548
1,invj-4pc-k1,inverse-j,0.04,NDY,8,9619.61005184014,8728.046516391661
1,invj-4pc-k1,inverse-j,0.04,NDY,9,9619.61005184014,8713.475764004692
1,invj-4pc-k1,inverse-j,0.04,NDY,10,9619.61005184014,8672.727123734601
1,invj-4pc-k1,inverse-j,0.04,NDY,11,9619.61005184014,8549.913875398053
1,invj-4pc-k1,inverse-j,0.04,NDY,12,9619.610051840136,8445.74093683664
1,invj-4pc-k1,inverse-j,0.04,NDY,13,9619.610051840133,8322.766544331695
