landbase,discount_rate,period,projected_mcf,realized_mcf
4,0.06,7,11238.99026367187,11238.990263671876
4,0.06,8,11238.990263671876,11238.990263671876
4,0.06,9,11238.990263671874,11238.990263671876
4,0.06,10,11238.990263671878,11238.990263671876
4,0.06,11,11238.990263671876,11238.990263671876
4,0.06,12,10814.686182771513,10814.6862006425
4,0.06,13,11238.990263671876,11238.990263671876
4,0.06,14,11238.990263671873,11238.99026328
4,0.06,15,11238.990263671876,11238.990263671876
5,0.0,1,8743.70535845539,8369.714209253829
5,0.0,2,8743.70535845539,8743.705354874819
5,0.0,3,8743.705358455392,8743.705358455392
5,0.0,4,8369.714209253829,8743.70536080255
5,0.0,5,8743.70535845539,8743.70535845539
5,0.0,6,8743.70535845539,8743.705358455389
5,0.0,7,8743.70535845539,8743.705358455392
5,0.0,8,8743.70535845539,8743.70535845539
5,0.0,9,8743.70535845539,8743.705358455389
5,0.0,10,8743.705358455394,8743.70535845539
5,0.0,11,8743.705358455387,8743.70535845539
5,0.0,12,8743.70535845539,8743.705354476262
5,0.0,13,8743.70535845539,8743.70548310917
5,0.0,14,8743.70535845539,8743.70523516
5,0.0,15,8743.70535845539,8743.70535845539
5,0.02,1,8743.70535845539,8743.70535845539
5,0.02,2,8743.70535845539,8743.70535845539
5,0.02,3,8743.705358455392,8743.70535845539
5,0.02,4,8369.714209253829,8369.71420643965
5,0.02,5,8743.70535845539,8743.70535845539
5,0.02,6,8743.70535845539,8743.70535845539
5,0.02,7,8743.70535845539,8743.70535845539
5,0.02,8,8743.70535845539,8743.70535845539
5,0.02,9,8743.70535845539,8743.70535845539
5,0.02,10,8743.705358455394,8743.70535845539
5,0.02,11,8743.705358455387,8743.70535845539
5,0.02,12,8743.70535845539,8743.7053662125
5,0.02,13,8743.70535845539,8743.70535845539
5,0.02,14,8743.70535845539,8743.70535845539
5,0.02,15,8743.70535845539,8743.70535845539
5,0.04,1,8743.70535845539,8743.70535845539
5,0.04,2,8743.70535845539,8743.70535845539
5,0.04,3,8743.705358455392,8743.70535845539
5,0.04,4,8369.714209253829,8369.71420643965
5,0.04,5,8743.70535845539,8743.70535845539
5,0.04,6,8743.70535845539,8743.70535845539
5,0.04,7,8743.70535845539,8743.70535845539
5,0.04,8,8743.70535845539,8743.70535845539
5,0.04,9,8743.70535845539,8743.70535845539
5,0.04,10,8743.705358455394,8743.70535845539
5,0.04,11,8743.705358455387,8743.70535845539
5,0.04,12,8743.70535845539,8743.7053662125
5,0.04,13,8743.70535845539,8743.70535845539
5,0.04,14,8743.70535845539,8743.70535845539
5,0.04,15,8743.70535845539,8743.70535845539
5,0.06,1,8743.70535845539,8743.70535845539
5,0.06,2,8743.70535845539,8743.70535845539
5,0.06,3,8743.705358455392,8743.70535845539
5,0.06,4,8369.714209253829,8369.71420643965
5,0.06,5,8743.70535845539,8743.70535845539
5,0.06,6,8743.70535845539,8743.70535845539
5,0.06,7,8743.70535845539,8743.70535845539
5,0.06,8,8743.70535845539,8743.70535845539
5,0.06,9,8743.70535845539,8743.70535845539
5,0.06,10,8743.705358455394,8743.70535845539
5,0.06,11,8743.705358455387,8743.70535845539
5,0.06,12,8743.70535845539,8743.7053662125
5,0.06,13,8743.70535845539,8743.70535845539
5,0.06,14,8743.70535845539,8743.70535845539
5,0.06,15,8743.70535845539,8743.70535845539
6,0.0,1,8859.005302521466,8522.944806698892
6,0.0,2,8859.005302521466,8859.005302521466
6,0.0,3,8859.005302521466,8859.005302521466
6,0.0,4,8522.944806698893,8859.00531131585
6,0.0,5,8859.005302521466,8859.005302521466
6,0.0,6,8859.005302521466,8859.005302521467
6,0.0,7,8859.005302521466,8859.005302521466
6,0.0,8,8859.005302521466,8859.005302521466
6,0.0,9,8859.005302521466,8859.005302521466
6,0.0,10,8859.005302521466,8859.005302521466
6,0.0,11,8859.005302521464,8859.005302521466
6,0.0,12,8859.005302521467,8859.005302521464
6,0.0,13,8859.005302521466,8859.005302521466
6,0.0,14,8859.005302521466,8859.005302521466
6,0.0,15,8859.005302521466,8859.0053005
6,0.02,1,8859.005302521466,8859.005302521466
6,0.02,2,8859.005302521466,8859.005302521466
6,0.02,3,8859.005302521466,8859.005302521466
6,0.02,4,8522.944806698893,8522.9448197133
6,0.02,5,8859.005302521466,8859.005302521466
6,0.02,6,8859.005302521466,8859.005302521466
6,0.02,7,8859.005302521466,8859.005302521466
6,0.02,8,8859.005302521466,8859.005302521466
6,0.02,9,8859.005302521466,8859.005302521466
6,0.02,10,8859.005302521466,8859.005302521466
6,0.02,11,8859.005302521464,8859.005302521466
6,0.02,12,8859.005302521467,8859.005302521466
6,0.02,13,8859.005302521466,8859.00530346
6,0.02,14,8859.005302521466,8859.005302521466
6,0.02,15,8859.005302521466,8859.005303258535
6,0.04,1,8859.005302521466,8859.005302521466
6,0.04,2,8859.005302521466,8859.005302521466
6,0.04,3,8859.005302521466,8859.005302521466
6,0.04,4,8522.944806698893,8522.9448197133
6,0.04,5,8859.005302521466,8859.005302521466
6,0.04,6,8859.005302521466,8859.005302521467
6,0.04,7,8859.005302521466,8859.005302521466
6,0.04,8,8859.005302521466,8859.005302521466
6,0.04,9,8859.005302521466,8859.005302521466
6,0.04,10,8859.005302521466,8859.005302521466
6,0.04,11,8859.005302521464,8859.005302521466
6,0.04,12,8859.005302521467,8859.005302521466
6,0.04,13,8859.005302521466,8859.00530346
6,0.04,14,8859.005302521466,8859.005302521466
6,0.04,15,8859.005302521466,8859.005302521466
6,0.06,1,8859.005302521466,8859.005302521466
6,0.06,2,8859.005302521466,8859.005302521466
6,0.06,3,8859.005302521466,8859.005302521466
6,0.06,4,8522.944806698893,8522.9448197133
6,0.06,5,8859.005302521466,8859.005302521466
6,0.06,6,8859.005302521466,8859.005302521467
6,0.06,7,8859.005302521466,8859.005302521466
6,0.06,8,8859.005302521466,8859.005302521466
6,0.06,9,8859.005302521466,8859.005302521466
6,0.06,10,8859.005302521466,8859.005302521467
6,0.06,11,8859.005302521464,8859.005302521466
6,0.06,12,8859.005302521467,8859.005302521466
6,0.06,13,8859.005302521466,8859.00530346
6,0.06,14,8859.005302521466,8859.005302521466
6,0.06,15,8859.005302521466,8859.005302521466
7,0.0,1,6565.71428462,6565.71428462
7,0.0,2,6894.983260558711,6894.98326055871
7,0.0,3,6894.983260558711,6894.983260558711
7,0.0,4,6894.983260558712,6894.983260558711
7,0.0,5,6894.983260558711,6894.983260558711
7,0.0,6,6894.983260558711,6894.983260558711
7,0.0,7,6894.983260558711,6894.983260558711
7,0.0,8,6894.983260558711,6894.98326055871
7,0.0,9,6894.983260558711,6894.983260558711
7,0.0,10,6894.983260558711,6894.983260558711
7,0.0,11,6894.983260558711,6894.983260558711
7,0.0,12,6894.983260558711,6894.983260558711
7,0.0,13,6894.983260558711,6894.983260558711
7,0.0,14,6894.98326055871,6894.983260558711
7,0.0,15,6894.983260558711,6894.983260558711
7,0.02,1,6565.71428462,6565.71428462
7,0.02,2,6894.983260558711,6894.983260558711
7,0.02,3,6894.983260558711,6894.983260558711
7,0.02,4,6894.983260558712,6894.983260558712
7,0.02,5,6894.983260558711,6894.983260558711
7,0.02,6,6894.983260558711,6894.983260558711
