landbase,discount_rate,flow_policy,flow_denominator,period,projected_mcf,realized_mcf,projected_revenue,realized_revenue
1,0.0,-20%,volume,10,6938.470804133427,3478.258144058034,8893570.231117757,4306255.098034035
1,0.0,-20%,volume,11,5550.776643306742,7336.483156789586,7114856.184894205,9145244.2260035
1,0.0,-20%,volume,12,4440.621314645393,7060.666589245,5691884.947915363,8648590.109950604
1,0.0,-20%,volume,13,3552.4970517163147,7995.072231384145,4553507.958332291,9880156.343925348
1,0.0,-20%,volume,14,2841.9976413730465,7993.069129605888,3537899.7266501067,9985290.275387237
1,0.0,-20%,volume,15,47321.971510248404,15442.194846153563,61564316.675888374,21342111.63466292
1,0.0,-20%,revenue,1,17742.69830427617,20423.27082978045,15680613.666533109,17889382.31968857
1,0.0,-20%,revenue,2,14194.158643420938,15083.755898983298,13462599.522950688,14036996.643629165
1,0.0,-20%,revenue,3,11355.32691473675,0.0,11602598.227854984,0.0
1,0.0,-20%,revenue,4,9084.261531789401,7126.435097591142,10253189.371796358,7902385.408582583
1,0.0,-20%,revenue,5,7267.409225431524,11533.260075805996,9060719.868893817,14445554.560461383
1,0.0,-20%,revenue,6,5813.927380345218,0.0,7166083.691808546,0.0
1,0.0,-20%,revenue,7,8858.823625098707,13816.031794688754,10851147.46906893,17405853.326415755
1,0.0,-20%,revenue,8,10841.360631458478,12097.421820478603,15752309.839614592,16359104.928612655
1,0.0,-20%,revenue,9,8673.088505166785,7450.306987163264,10623641.057172844,9948378.777697654
1,0.0,-20%,revenue,10,6938.470804133427,6293.281873307891,8893570.231117757,7911143.085489727
1,0.0,-20%,revenue,11,5550.776643306742,5611.773493039058,7114856.184894205,6978496.929027879
1,0.0,-20%,revenue,12,4440.621314645393,12446.286910009167,5691884.947915363,16161431.07993976
1,0.0,-20%,revenue,13,3552.4970517163147,3101.563512158464,4553507.958332291,3799096.1869657794
1,0.0,-20%,revenue,14,2841.9976413730465,6490.54857366,3537899.7266501067,7950254.199485197
1,0.0,-20%,revenue,15,47321.971510248404,10811.403211490775,61564316.675888374,14951668.71259157
1,0.0,+/-10%,volume,1,13970.019143800459,13970.019143800459,12116862.34812533,12116862.34812533
1,0.0,+/-10%,volume,2,12573.01722942044,12573.017230032845,12162620.428879306,12267161.591325067
1,0.0,+/-10%,volume,3,11315.71550647836,9775.118218006539,11359367.626261441,9812827.245871538
1,0.0,+/-10%,volume,4,10184.143955830503,9803.274229464647,12019567.707707893,10870687.821662901
1,0.0,+/-10%,volume,5,9165.729560247466,9140.215323645749,11227075.66251398,11576599.68627929
1,0.0,+/-10%,volume,6,8249.156604222771,8317.35427281405,10403450.369372582,10660990.937411262
1,0.0,+/-10%,volume,7,7902.943573965603,6027.844531421427,9680292.755560523,7449003.449856498
1,0.0,+/-10%,volume,8,8693.237931362219,7067.868879932406,12071481.653834477,9300164.87430429
1,0.0,+/-10%,volume,9,8460.565017938834,8935.200935960558,10363321.651555872,12463696.07477825
1,0.0,+/-10%,volume,10,8468.530953056823,7340.617235837595,10758603.890398351,9698779.43067484
1,0.0,+/-10%,volume,11,9315.384048362534,8526.416948783093,12091003.696055565,10814407.932248874
1,0.0,+/-10%,volume,12,10246.922453198802,9379.058643325001,13007326.894384583,11488381.84016009
1,0.0,+/-10%,volume,13,11271.614698518637,11381.07598795998,14732422.773822729,14310650.816346556
1,0.0,+/-10%,volume,14,12398.776168370576,9896.720077335325,16171329.367811231,12416387.525313336
1,0.0,+/-10%,volume,15,13638.653785207607,8445.54961054319,18129107.248039693,10825760.324727803
1,0.0,+/-10%,revenue,1,13970.019143800459,16310.896332093373,12116862.34812533,14217175.431777239
1,0.0,+/-10%,revenue,2,12573.01722942044,13504.57813369263,12162620.428879306,12828763.511899158
1,0.0,+/-10%,revenue,3,11315.71550647836,10208.987487454913,11359367.626261441,10350293.247411732
1,0.0,+/-10%,revenue,4,10184.143955830503,7897.226274040892,12019567.707707893,8757102.930376839
1,0.0,+/-10%,revenue,5,9165.729560247466,7722.673283554093,11227075.66251398,9862025.34398423
1,0.0,+/-10%,revenue,6,8249.156604222771,8268.171194894514,10403450.369372582,10597949.213952638
1,0.0,+/-10%,revenue,7,7902.943573965603,7275.371938799263,9680292.755560523,8954689.216475375
1,0.0,+/-10%,revenue,8,8693.237931362219,6991.144219969073,12071481.653834477,9052391.526850976
1,0.0,+/-10%,revenue,9,8460.565017938834,8435.223133536718,10363321.651555872,11481076.712769844
1,0.0,+/-10%,revenue,10,8468.530953056823,7598.015379232804,10758603.890398351,9775534.015309758
1,0.0,+/-10%,revenue,11,9315.384048362534,7742.311145423937,12091003.696055565,10495389.457494546
1,0.0,+/-10%,revenue,12,10246.922453198802,9210.758607207057,13007326.894384583,11544928.40277589
1,0.0,+/-10%,revenue,13,11271.614698518637,11703.23433279716,14732422.773822729,14630220.077047411
1,0.0,+/-10%,revenue,14,12398.776168370576,10212.525288214505,16171329.367811231,12793715.276295451
1,0.0,+/-10%,revenue,15,13638.653785207607,9181.761813335694,18129107.248039693,11927956.757527124
1,0.0,+/-20%,volume,1,17259.40780822145,17259.40780822145,15177106.865341932,15177106.865341932
1,0.0,+/-20%,volume,2,13807.526246577163,13753.857039984912,13225458.94508319,12949198.619106457
1,0.0,+/-20%,volume,3,11046.020997261725,8768.970764051714,11188139.262314525,8802798.42275766
1,0.0,+/-20%,volume,4,8836.816797809355,6559.163827606448,10080338.729304336,7273347.727715971
1,0.0,+/-20%,volume,5,7069.453438247491,10054.992838242304,8659353.095912345,12761652.03149036
1,0.0,+/-20%,volume,6,7438.556711882814,7438.556708916658,9333386.49716654,9534568.69336281
1,0.0,+/-20%,volume,7,8926.268054259404,7179.894894933305,10933759.95553005,8827406.447922349
1,0.0,+/-20%,volume,8,10711.521665111282,8178.6953201250035,15318654.76904772,11758236.556243844
1,0.0,+/-20%,volume,9,8569.217332089025,8350.020917889335,10496409.557308843,11157514.79618816
1,0.0,+/-20%,volume,10,6855.37386567122,6446.74178151342,8787058.511307066,8265760.024560195
1,0.0,+/-20%,volume,11,7989.506297185848,8007.271637671327,9940730.953719748,10006909.923623133
1,0.0,+/-20%,volume,12,9587.40755662301,9608.725964809999,12138803.808450798,11769700.678837387
1,0.0,+/-20%,volume,13,11504.889067947624,12303.492650409898,14143534.421718396,15394714.686215034
1,0.0,+/-20%,volume,14,13805.866881537131,9170.228231026318,18638308.730420813,11649119.274982791
1,0.0,+/-20%,volume,15,16567.040257844565,11387.202601628016,22491062.579223067,15282816.141009133
1,0.0,+/-20%,revenue,1,17259.40780822145,18853.876628878606,15177106.865341932,16560174.553060021
1,0.0,+/-20%,revenue,2,13807.526246577163,11215.999675047282,13225458.94508319,10564099.526986744
1,0.0,+/-20%,revenue,3,11046.020997261725,9993.135019238787,11188139.262314525,10181331.826616999
1,0.0,+/-20%,revenue,4,8836.816797809355,6863.103117195133,10080338.729304336,7610380.953199558
1,0.0,+/-20%,revenue,5,7069.453438247491,7923.634300051304,8659353.095912345,9919222.291629523
1,0.0,+/-20%,revenue,6,7438.556711882814,7979.198365873957,9333386.49716654,10188715.47573112
1,0.0,+/-20%,revenue,7,8926.268054259404,8390.272674780223,10933759.95553005,10352286.223338747
1,0.0,+/-20%,revenue,8,10711.521665111282,9518.871951301753,15318654.76904772,13656022.107320368
1,0.0,+/-20%,revenue,9,8569.217332089025,9285.627622106582,10496409.557308843,12140855.593071736
1,0.0,+/-20%,revenue,10,6855.37386567122,6624.423231475385,8787058.511307066,8242132.970533974
1,0.0,+/-20%,revenue,11,7989.506297185848,7911.755297933132,9940730.953719748,10265019.406332646
1,0.0,+/-20%,revenue,12,9587.40755662301,9813.441397350114,12138803.808450798,12068791.889384396
1,0.0,+/-20%,revenue,13,11504.889067947624,11401.616318070524,14143534.421718396,14212156.350196928
1,0.0,+/-20%,revenue,14,13805.866881537131,8525.513844747838,18638308.730420813,10783240.434164478
1,0.0,+/-20%,revenue,15,16567.040257844565,11147.860775295023,22491062.579223067,15040326.135880612
1,0.02,NHF,volume,1,65457.782,65457.782,55882834.33066475,55882834.33066475
1,0.02,NHF,volume,2,0.0,0.0,0.0,0.0
1,0.02,NHF,volume,3,0.0,0.0,0.0,0.0
1,0.02,NHF,volume,4,0.0,0.0,0.0,0.0
1,0.02,NHF,volume,5,0.0,0.0,0.0,0.0
1,0.02,NHF,volume,6,0.0,0.0,0.0,0.0
1,0.02,NHF,volume,7,30640.0,30640.0,37530847.49427636,37530847.49427636
1,0.02,NHF,volume,8,11500.0,11500.0,17247007.220903523,17247007.220903523
1,0.02,NHF,volume,9,21480.0,21480.0,27532563.580235224,27532563.580235224
1,0.02,NHF,volume,10,0.0,0.0,0.0,0.0
1,0.02,NHF,volume,11,0.0,0.0,0.0,0.0
1,0.02,NHF,volume,12,0.0,0.0,0.0,0.0
1,0.02,NHF,volume,13,30640.0,30640.0,37530847.49427636,37530847.49427636
1,0.02,NHF,volume,14,0.0,0.0,0.0,0.0
1,0.02,NHF,volume,15,11500.0,11500.0,17247007.220903523,17247007.220903523
1,0.02,NHF,revenue,1,65457.782,65457.782,55882834.33066475,55882834.33066475
1,0.02,NHF,revenue,2,0.0,0.0,0.0,0.0
1,0.02,NHF,revenue,3,0.0,0.0,0.0,0.0
1,0.02,NHF,revenue,4,0.0,0.0,0.0,0.0
1,0.02,NHF,revenue,5,0.0,0.0,0.0,0.0
1,0.02,NHF,revenue,6,0.0,0.0,0.0,0.0
1,0.02,NHF,revenue,7,30640.0,30640.0,37530847.49427636,37530847.49427636
1,0.02,NHF,revenue,8,11500.0,11500.0,17247007.220903523,17247007.220903523
1,0.02,NHF,revenue,9,21480.0,21480.0,27532563.580235224,27532563.580235224
1,0.02,NHF,revenue,10,0.0,0.0,0.0,0.0
1,0.02,NHF,revenue,11,0.0,0.0,0.0,0.0
1,0.02,NHF,revenue,12,0.0,0.0,0.0,0.0
1,0.02,NHF,revenue,13,30640.0,30640.0,37530847.49427636,37530847.49427636
1,0.02,NHF,revenue,14,0.0,0.0,0.0,0.0
1,0.02,NHF,revenue,15,11500.0,11500.0,17247007.220903523,17247007.220903523
1,0.02,NDY,volume,1,10197.504495872003,10197.504495872003,9155254.778998619,9155254.778998619
1,0.02,NDY,volume,2,10197.504495872005,10194.429996982179,10010522.33362222,10022335.09861595
1,0.02,NDY,volume,3,10197.504495872008,9915.943258910174,10402779.376691537,10118203.573592724
1,0.02,NDY,volume,4,10197.504495872005,9830.526583419844,11563695.776975445,11075133.405901609
1,0.02,NDY,volume,5,10197.504495872006,9816.822992275933,12602510.28225478,12175710.510288246
1,0.02,NDY,volume,6,10197.504495872006,9479.219698577088,12775249.323609807,11836495.667750187
1,0.02,NDY,volume,7,10197.504495872003,9387.998198103192,9856056.730491567,11591596.522132337
1,0.02,NDY,volume,8,10197.504495871974,9384.647244172655,14238241.751436915,13057065.988542695
1,0.02,NDY,volume,9,10197.504495871975,9380.912607525623,13871736.466736086,13089504.50840567
1,0.02,NDY,volume,10,10197.504495871985,9380.912607972157,5326055.830922143,11616997.558064934
1,0.02,NDY,volume,11,10197.504495871985,9380.9126091275,12721417.62880297,11720355.353305716
1,0.02,NDY,volume,12,10197.504495871985,9380.912606235,12850306.64227743,11760193.682864606
1,0.02,NDY,volume,13,10197.504495871985,9341.585518295571,12632838.246096248,11634653.12646478
1,0.02,NDY,volume,14,10197.504495871983,9154.24125798112,12852513.217811575,11499682.55375697
1,0.02,NDY,volume,15,11531.01401058809,9154.241258067736,15871653.70407977,12666349.971634097
1,0.02,NDY,revenue,1,10197.504495872003,13624.382519313502,9155254.778998619,11527075.548974771
1,0.02,NDY,revenue,2,10197.504495872005,11911.275974344731,10010522.33362222,11527075.548726074
1,0.02,NDY,revenue,3,10197.504495872008,10756.282827486164,10402779.376691537,11527075.54918009
1,0.02,NDY,revenue,4,10197.504495872005,10200.768669410023,11563695.776975445,11527075.549243778
